TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD
1744619,9/30/2018 1:15,2027,6240,16.67,0
1744620,9/30/2018 1:15,1580,8535,16.72,0
1744621,9/30/2018 1:16,4904,7764,123.94,0
1744622,9/30/2018 1:17,1676,9035,74.46,0
1744623,9/30/2018 1:17,4052,4493,12.97,0
1744624,9/30/2018 1:17,3224,1093,99.41,0
1744625,9/30/2018 1:18,4937,5335,10.68,0
1744626,9/30/2018 1:19,1564,2167,56.91,0
1744627,9/30/2018 1:19,909,8987,59.07,0
1744628,9/30/2018 1:19,502,4084,67.48,0
1744629,9/30/2018 1:20,1563,1624,52.21,0
1744630,9/30/2018 1:21,3829,5096,81.37,0
1744631,9/30/2018 1:22,1482,7868,32.08,0
1744632,9/30/2018 1:22,3710,4230,131.33,0
1744633,9/30/2018 1:24,3735,9053,36.71,0
1744634,9/30/2018 1:25,3440,8830,39,0
1744635,9/30/2018 1:26,1842,3656,69.51,0
1744636,9/30/2018 1:26,4876,2312,36.74,0
1744637,9/30/2018 1:27,4942,1956,128.45,0
1744638,9/30/2018 1:27,1854,5474,6.26,0
1744639,9/30/2018 1:27,2077,7103,6.48,0
1744640,9/30/2018 1:28,3228,2413,16.92,0
1744641,9/30/2018 1:28,359,5269,78.48,0
1744642,9/30/2018 1:28,4596,275,76.29,0
1744643,9/30/2018 1:28,4781,7301,162.47,0
1744644,9/30/2018 1:28,234,1128,43.13,0
1744645,9/30/2018 1:28,198,70,88.81,0
1744646,9/30/2018 1:29,3773,4706,37.58,0
1744647,9/30/2018 1:29,2806,366,32.66,0
1744648,9/30/2018 1:30,2731,5214,18.1,0
1744649,9/30/2018 1:30,1440,8936,59.9,0
1744650,9/30/2018 1:31,4625,8573,124.57,0
1744651,9/30/2018 1:31,4385,4714,28.68,0
1744652,9/30/2018 1:31,1905,2734,88.48,0
1744653,9/30/2018 1:32,3089,6324,11.48,0
1744654,9/30/2018 1:32,4460,8573,70.71,0
1744655,9/30/2018 1:32,3546,7854,36.75,0
1744656,9/30/2018 1:33,1961,5870,73.97,0
1744657,9/30/2018 1:33,1440,5620,49.12,0
1744658,9/30/2018 1:33,3174,1923,104.2,0
1744659,9/30/2018 1:33,2633,587,17.55,0
1744660,9/30/2018 1:34,2522,5382,34.46,0
1744661,9/30/2018 1:34,3220,5648,34.47,0
1744662,9/30/2018 1:35,1282,4596,20.77,0
1744663,9/30/2018 1:36,636,2896,125.61,0
1744664,9/30/2018 1:36,2741,8441,85.05,0
1744665,9/30/2018 1:37,2822,8894,54.85,0
1744666,9/30/2018 1:37,2161,8627,36.7,0
1744667,9/30/2018 1:38,2753,1566,33.38,0
1744668,9/30/2018 1:38,652,4697,177.02,0
1744669,9/30/2018 1:39,738,2637,7.65,0
1744670,9/30/2018 1:39,1014,1524,96.86,0
1744671,9/30/2018 1:40,1227,2865,126.17,0
1744672,9/30/2018 1:40,1717,3285,18.37,0
1744673,9/30/2018 1:41,4963,3439,15.4,0
1744674,9/30/2018 1:41,4752,3180,67.48,0
1744675,9/30/2018 1:42,3464,9441,52.98,0
1744676,9/30/2018 1:43,3182,1642,33.78,0
1744677,9/30/2018 1:43,712,3880,45.68,0
1744678,9/30/2018 1:44,2439,8821,8.45,0
1744679,9/30/2018 1:46,4711,8648,96.57,0
1744680,9/30/2018 1:46,4802,2102,4.38,0
1744681,9/30/2018 1:47,2273,1133,21.46,0
1744682,9/30/2018 1:48,4903,1983,101.11,0
1744683,9/30/2018 1:48,1639,4458,28.63,0
1744684,9/30/2018 1:48,1539,6430,9.11,0
1744685,9/30/2018 1:48,1958,7373,102.56,0
1744686,9/30/2018 1:49,653,6022,56.16,0
1744687,9/30/2018 1:49,1725,6487,115.01,0
1744688,9/30/2018 1:50,1716,4278,140.93,0
1744689,9/30/2018 1:50,2794,7157,99.56,0
1744690,9/30/2018 1:51,116,4046,66.21,0
1744691,9/30/2018 1:51,979,4862,38.01,0
1744692,9/30/2018 1:52,2864,4287,10.75,0
1744693,9/30/2018 1:52,4173,7571,21.31,0
1744694,9/30/2018 1:52,4549,8072,76.11,0
1744695,9/30/2018 1:53,4910,4026,94.22,0
1744696,9/30/2018 1:54,3275,5871,12.13,0
1744697,9/30/2018 1:55,2129,7487,13.37,0
1744698,9/30/2018 1:55,3620,8087,5.48,0
1744699,9/30/2018 1:55,3677,5793,2.18,0
1744700,9/30/2018 1:56,2834,1455,45.33,0
1744701,9/30/2018 1:57,3336,7205,35.64,0
1744702,9/30/2018 1:58,2900,6677,12.39,0
1744703,9/30/2018 1:58,1832,8946,25.87,0
1744704,9/30/2018 1:58,1950,5793,28.82,0
1744705,9/30/2018 1:58,4597,9206,5.17,0
1744706,9/30/2018 1:59,3924,493,57.85,0
1744707,9/30/2018 2:01,596,3196,10.56,0
1744708,9/30/2018 2:01,4680,4928,148.99,0
1744709,9/30/2018 2:01,926,9906,46.39,0
1744710,9/30/2018 2:02,1149,7689,107.48,0
1744711,9/30/2018 2:03,457,4476,36.29,0
1744712,9/30/2018 2:03,1978,1514,37.4,0
1744713,9/30/2018 2:05,1804,4898,90.9,0
1744714,9/30/2018 2:05,4270,1819,79.61,0
1744715,9/30/2018 2:06,4568,2575,55.99,0
1744716,9/30/2018 2:06,3621,7154,28.9,0
1744717,9/30/2018 2:06,124,4679,34.64,0
1744718,9/30/2018 2:07,1445,4200,62.27,0
1744719,9/30/2018 2:07,4710,623,62.35,0
1744720,9/30/2018 2:08,174,5095,14.22,0
1744721,9/30/2018 2:08,97,4088,14.61,0
1744722,9/30/2018 2:08,4823,6147,24.95,0
1744723,9/30/2018 2:09,2305,5988,20.9,0
1744724,9/30/2018 2:09,2691,5159,118.8,0
1744725,9/30/2018 2:10,3664,2250,48.3,0
1744726,9/30/2018 2:10,4695,893,10.84,0
1744727,9/30/2018 2:11,2807,8634,138.27,0
1744728,9/30/2018 2:11,939,5605,90.96,0
1744729,9/30/2018 2:11,1626,2297,52.38,0
1744730,9/30/2018 2:11,4928,2267,71.95,0
1744731,9/30/2018 2:12,1731,1711,4.58,0
1744732,9/30/2018 2:12,3174,3130,99.74,0
1744733,9/30/2018 2:13,1839,6388,17.62,0
1744734,9/30/2018 2:13,3054,8419,81.48,0
1744735,9/30/2018 2:14,1522,2879,5.19,0
1744736,9/30/2018 2:15,2181,9140,72.05,0
1744737,9/30/2018 2:15,2759,8066,10.9,0
1744738,9/30/2018 2:15,617,9432,24.53,0
1744739,9/30/2018 2:15,1347,7990,84.89,0
1744740,9/30/2018 2:15,3159,343,10.9,0
1744741,9/30/2018 2:15,1510,1344,17.75,0
1744742,9/30/2018 2:16,4717,5253,6.56,0
1744743,9/30/2018 2:17,1119,2723,95.24,0
1744744,9/30/2018 2:17,1113,444,51.84,0
1744745,9/30/2018 2:17,48,8553,75.2,0
1744746,9/30/2018 2:17,3606,7944,121.72,0
1744747,9/30/2018 2:18,1950,6479,13.69,0
1744748,9/30/2018 2:19,456,2290,61.06,0
1744749,9/30/2018 2:20,1153,710,72.46,0
1744750,9/30/2018 2:20,2912,5704,2.19,0
1744751,9/30/2018 2:20,1888,4308,121.97,0
1744752,9/30/2018 2:20,4556,1965,64.51,0
1744753,9/30/2018 2:20,4237,197,109.66,0
1744754,9/30/2018 2:20,3368,3223,33.64,0
1744755,9/30/2018 2:21,2330,3479,101.8,0
1744756,9/30/2018 2:21,540,2041,45.93,0
1744757,9/30/2018 2:21,732,6695,86.06,0
1744758,9/30/2018 2:22,3780,6128,42.47,0
1744759,9/30/2018 2:22,4561,296,68.34,0
1744760,9/30/2018 2:22,1239,5956,70.59,0
1744761,9/30/2018 2:22,1331,2960,82.02,0
1744762,9/30/2018 2:23,2699,338,99.87,0
1744763,9/30/2018 2:23,885,7358,29.78,0
1744764,9/30/2018 2:23,1408,9508,76.66,0
1744765,9/30/2018 2:23,843,2164,41.65,0
1744766,9/30/2018 2:24,2620,880,25.04,0
1744767,9/30/2018 2:24,4165,4190,56.11,0
1744768,9/30/2018 2:24,2979,4104,168.35,0
1744769,9/30/2018 2:25,4413,2687,45.88,0
1744770,9/30/2018 2:25,2141,7988,81.91,0
1744771,9/30/2018 2:25,3244,3903,28.02,0
1744772,9/30/2018 2:25,1860,859,57.52,0
1744773,9/30/2018 2:27,1578,5523,14.74,0
1744774,9/30/2018 2:27,946,1056,50.49,0
1744775,9/30/2018 2:28,3481,4182,78.94,0
1744776,9/30/2018 2:28,3470,6330,36.55,0
1744777,9/30/2018 2:29,1694,8698,97.37,0
1744778,9/30/2018 2:29,1745,2983,15.03,0
1744779,9/30/2018 2:30,3280,5472,40.21,0
1744780,9/30/2018 2:30,2281,214,59.19,0
1744781,9/30/2018 2:31,1011,2900,47.54,0
1744782,9/30/2018 2:32,4000,8861,15.4,0
1744783,9/30/2018 2:32,3257,6058,65.37,0
1744784,9/30/2018 2:33,605,371,43.07,0
1744785,9/30/2018 2:33,4139,769,40.35,0
1744786,9/30/2018 2:34,3168,6046,81.04,0
1744787,9/30/2018 2:34,2673,7175,15.79,0
1744788,9/30/2018 2:34,1097,5330,110.74,0
1744789,9/30/2018 2:34,328,4176,116.49,0
1744790,9/30/2018 2:35,3131,6977,5.33,0
1744791,9/30/2018 2:35,306,2554,61.71,0
1744792,9/30/2018 2:36,4029,9492,55.03,0
1744793,9/30/2018 2:36,3231,1425,4.53,0
1744794,9/30/2018 2:36,3977,9171,70.13,0
1744795,9/30/2018 2:36,1280,465,14.58,0
1744796,9/30/2018 2:36,441,9213,56.58,0
1744797,9/30/2018 2:37,1019,3174,15.99,0
1744798,9/30/2018 2:37,3241,6818,81.65,0
1744799,9/30/2018 2:37,4412,2840,55.35,0
1744800,9/30/2018 2:38,218,1004,16.62,0
1744801,9/30/2018 2:38,4445,7685,20.35,0
1744802,9/30/2018 2:38,3153,880,160.09,0
1744803,9/30/2018 2:39,65,3595,5.83,0
1744804,9/30/2018 2:40,2943,5584,7.23,0
1744805,9/30/2018 2:40,0,5138,38.55,0
1744806,9/30/2018 2:41,2475,7995,104.25,0
1744807,9/30/2018 2:42,3006,1688,12.41,0
1744808,9/30/2018 2:42,2939,2280,16,0
1744809,9/30/2018 2:42,2166,3379,20.34,0
1744810,9/30/2018 2:43,4489,5460,80.15,0
1744811,9/30/2018 2:44,4321,126,24.12,0
1744812,9/30/2018 2:44,1494,925,29.68,0
1744813,9/30/2018 2:45,421,2584,25.32,0
1744814,9/30/2018 2:46,417,8669,103.1,0
1744815,9/30/2018 2:46,2058,9104,44.66,0
1744816,9/30/2018 2:46,3037,4018,46.89,0
1744817,9/30/2018 2:46,2470,4827,49.37,0
1744818,9/30/2018 2:46,3873,5730,35.62,0
1744819,9/30/2018 2:47,2152,3806,52.32,0
1744820,9/30/2018 2:47,2389,168,12.81,0
1744821,9/30/2018 2:47,4118,8976,45.99,0
1744822,9/30/2018 2:48,3777,4134,39.3,0
1744823,9/30/2018 2:48,1846,9655,26.06,0
1744824,9/30/2018 2:49,4039,5114,53.6,0
1744825,9/30/2018 2:49,1508,9364,35.11,0
1744826,9/30/2018 2:49,2743,241,48.43,0
1744827,9/30/2018 2:49,2322,6888,5.07,0
1744828,9/30/2018 2:49,3387,4170,64.71,0
1744829,9/30/2018 2:50,4563,7507,46.78,0
1744830,9/30/2018 2:50,4604,3329,119.93,0
1744831,9/30/2018 2:50,322,187,43.93,0
1744832,9/30/2018 2:51,2440,4622,8.56,0
1744833,9/30/2018 2:51,312,968,93.55,0
1744834,9/30/2018 2:51,2829,4529,25.25,0
1744835,9/30/2018 2:51,68,112,35.01,0
1744836,9/30/2018 2:52,4422,2921,2.83,0
1744837,9/30/2018 2:52,4481,1151,77.21,0
1744838,9/30/2018 2:52,4075,6619,38.84,0
1744839,9/30/2018 2:52,3002,4116,24.16,0
1744840,9/30/2018 2:52,4182,4141,25.74,0
1744841,9/30/2018 2:52,4635,6485,69.59,0
1744842,9/30/2018 2:53,3705,9463,28.89,0
1744843,9/30/2018 2:53,2673,3097,19.71,0
1744844,9/30/2018 2:53,2425,4650,37.06,0
1744845,9/30/2018 2:53,1094,2121,87.13,0
1744846,9/30/2018 2:54,1542,3606,4.99,0
1744847,9/30/2018 2:55,2413,3901,96.57,0
1744848,9/30/2018 2:56,1657,9852,72.37,0
1744849,9/30/2018 2:56,2984,5760,50.88,0
1744850,9/30/2018 2:56,194,9994,54.15,0
1744851,9/30/2018 2:56,3863,5754,27.88,0
1744852,9/30/2018 2:57,2258,7470,25.88,0
1744853,9/30/2018 2:58,3684,6385,14.41,0
1744854,9/30/2018 2:58,3722,8227,119.83,0
1744855,9/30/2018 2:58,473,8128,22.07,0
1744856,9/30/2018 2:58,3535,51,90.1,0
1744857,9/30/2018 2:58,1525,2870,56.73,0
1744858,9/30/2018 2:59,3988,1346,16.33,0
1744859,9/30/2018 2:59,3668,5063,65.94,0
1744860,9/30/2018 2:59,3907,390,71.39,0
1744861,9/30/2018 2:59,815,1115,105.19,0
1744862,9/30/2018 3:00,2618,401,58.23,1
1744863,9/30/2018 3:00,99,8473,4.81,0
1744864,9/30/2018 3:00,2608,6519,31.73,0
1744865,9/30/2018 3:00,3895,1574,85.67,0
1744866,9/30/2018 3:00,4291,5135,55.52,0
1744867,9/30/2018 3:01,1398,6178,118.96,0
1744868,9/30/2018 3:01,894,5643,14.24,0
1744869,9/30/2018 3:01,4313,9487,27.37,0
1744870,9/30/2018 3:01,2900,7468,23.67,0
1744871,9/30/2018 3:03,4664,5040,69.09,0
1744872,9/30/2018 3:04,1513,5324,36.04,0
1744873,9/30/2018 3:04,578,9347,93.14,0
1744874,9/30/2018 3:04,2651,9354,22.88,0
1744875,9/30/2018 3:05,4223,4980,92.35,0
1744876,9/30/2018 3:05,3557,1690,54.82,0
1744877,9/30/2018 3:05,1998,1732,93.99,0
1744878,9/30/2018 3:05,2668,6757,63.84,0
1744879,9/30/2018 3:05,269,3104,48.91,0
1744880,9/30/2018 3:06,3144,7978,123.51,0
1744881,9/30/2018 3:07,569,6051,57.36,0
1744882,9/30/2018 3:07,1019,6010,6.93,0
1744883,9/30/2018 3:08,2680,4279,22.82,0
1744884,9/30/2018 3:08,1625,2913,11.52,0
1744885,9/30/2018 3:08,3546,7248,53.91,0
1744886,9/30/2018 3:08,4515,3665,33.23,0
1744887,9/30/2018 3:09,2385,1182,2.17,0
1744888,9/30/2018 3:09,647,8211,13.18,0
1744889,9/30/2018 3:09,1541,8948,134.3,0
1744890,9/30/2018 3:09,3537,4678,29.72,0
1744891,9/30/2018 3:09,705,442,27.14,0
1744892,9/30/2018 3:09,981,8339,91.49,0
1744893,9/30/2018 3:10,1741,2192,23.91,0
1744894,9/30/2018 3:10,4357,5341,71.76,0
1744895,9/30/2018 3:10,2448,8380,84.63,0
1744896,9/30/2018 3:10,429,540,13.94,0
1744897,9/30/2018 3:11,284,6552,33.71,0
1744898,9/30/2018 3:11,2590,8706,0.86,0
1744899,9/30/2018 3:11,2249,6182,67.27,0
1744900,9/30/2018 3:11,1429,2215,27.75,0
1744901,9/30/2018 3:12,2863,5069,33.78,0
1744902,9/30/2018 3:12,1371,9002,110.8,0
1744903,9/30/2018 3:13,1857,7423,103.39,0
1744904,9/30/2018 3:13,3887,6532,60.99,1
1744905,9/30/2018 3:13,2114,3415,80.9,0
1744906,9/30/2018 3:13,1678,4330,136.48,0
1744907,9/30/2018 3:13,3262,3536,92.13,0
1744908,9/30/2018 3:13,2291,7427,46.35,0
1744909,9/30/2018 3:14,2827,5246,51.81,0
1744910,9/30/2018 3:14,1799,8030,178.35,0
1744911,9/30/2018 3:14,2263,7575,106.21,0
1744912,9/30/2018 3:14,1522,6937,7.23,0
1744913,9/30/2018 3:14,3833,6695,1.8,0
1744914,9/30/2018 3:15,2431,6528,38.18,0
1744915,9/30/2018 3:15,2044,4481,48.83,0
1744916,9/30/2018 3:15,2404,1499,24.11,0
1744917,9/30/2018 3:15,2392,9600,34.75,0
1744918,9/30/2018 3:15,26,5868,108.26,0
1744919,9/30/2018 3:15,3988,3364,6.31,0
1744920,9/30/2018 3:15,2952,3394,18.23,0
1744921,9/30/2018 3:16,1666,8438,5.75,0
1744922,9/30/2018 3:16,1209,9440,28.22,0
1744923,9/30/2018 3:16,2009,9661,127.2,0
1744924,9/30/2018 3:16,4793,1858,40.2,0
1744925,9/30/2018 3:16,4730,971,22.85,0
1744926,9/30/2018 3:16,1415,2254,42,0
1744927,9/30/2018 3:16,1817,9186,125.9,0
1744928,9/30/2018 3:17,4746,9913,41.52,0
1744929,9/30/2018 3:17,121,3128,58.81,0
1744930,9/30/2018 3:17,2891,7896,194.51,0
1744931,9/30/2018 3:17,883,7300,10.27,0
1744932,9/30/2018 3:18,3474,4453,9.09,0
1744933,9/30/2018 3:19,2656,5941,28.02,0
1744934,9/30/2018 3:19,4896,6961,17.17,0
1744935,9/30/2018 3:19,1774,2226,12.93,0
1744936,9/30/2018 3:19,808,2024,5.96,1
1744937,9/30/2018 3:20,4126,289,8.45,0
1744938,9/30/2018 3:20,530,8342,7,0
1744939,9/30/2018 3:20,349,4483,66.75,0
1744940,9/30/2018 3:20,4754,1859,97.46,0
1744941,9/30/2018 3:21,2510,4911,122.28,0
1744942,9/30/2018 3:21,3116,7524,64.19,0
1744943,9/30/2018 3:21,3776,5103,34.91,0
1744944,9/30/2018 3:21,576,4154,104.35,0
1744945,9/30/2018 3:21,539,3481,12.8,0
1744946,9/30/2018 3:22,1456,4643,30.45,0
1744947,9/30/2018 3:22,1376,8742,37.38,0
1744948,9/30/2018 3:23,3928,5154,41.24,0
1744949,9/30/2018 3:23,4947,292,32.7,0
1744950,9/30/2018 3:23,3549,7244,31.34,0
1744951,9/30/2018 3:23,1666,7086,17.16,0
1744952,9/30/2018 3:23,3976,2258,34.24,0
1744953,9/30/2018 3:23,1666,9633,9.97,0
1744954,9/30/2018 3:24,2040,3259,140.7,0
1744955,9/30/2018 3:24,3761,726,24.38,0
1744956,9/30/2018 3:24,3408,5605,152.7,0
1744957,9/30/2018 3:25,3001,6875,76.57,0
1744958,9/30/2018 3:25,842,4319,5.58,0
1744959,9/30/2018 3:25,2153,7355,44.23,0
1744960,9/30/2018 3:26,692,1718,104.62,0
1744961,9/30/2018 3:26,1831,5939,109.21,0
1744962,9/30/2018 3:26,1475,8831,47.53,0
1744963,9/30/2018 3:26,2754,6440,83.75,0
1744964,9/30/2018 3:27,1636,5703,79.85,0
1744965,9/30/2018 3:27,2784,6492,26.11,0
1744966,9/30/2018 3:28,1191,970,94.5,0
1744967,9/30/2018 3:28,2137,7849,33.67,0
1744968,9/30/2018 3:28,676,870,28.6,0
1744969,9/30/2018 3:29,4482,1044,16.73,0
1744970,9/30/2018 3:29,4047,9766,75.47,0
1744971,9/30/2018 3:30,1178,5936,87.23,0
1744972,9/30/2018 3:30,49,4064,10.9,0
1744973,9/30/2018 3:30,3431,2311,63.47,0
1744974,9/30/2018 3:31,3790,9387,35.97,0
1744975,9/30/2018 3:31,405,1790,109.88,0
1744976,9/30/2018 3:31,3820,9634,46.74,0
1744977,9/30/2018 3:32,3422,1550,25.51,0
1744978,9/30/2018 3:32,3300,4284,25.09,0
1744979,9/30/2018 3:32,2356,8546,127.38,0
1744980,9/30/2018 3:32,2197,2239,1.9,0
1744981,9/30/2018 3:32,2441,9671,81.12,0
1744982,9/30/2018 3:32,194,8213,69.87,0
1744983,9/30/2018 3:32,444,9966,10.99,0
1744984,9/30/2018 3:32,3463,1879,38.08,0
1744985,9/30/2018 3:33,4494,1364,4.96,0
1744986,9/30/2018 3:33,1394,3548,78.17,0
1744987,9/30/2018 3:33,1325,5083,20.68,0
1744988,9/30/2018 3:33,3520,1827,45.83,0
1744989,9/30/2018 3:34,4729,56,8.96,0
1744990,9/30/2018 3:34,2790,8252,81.59,0
1744991,9/30/2018 3:35,2801,2439,32.33,0
1744992,9/30/2018 3:35,4107,4612,6.43,0
1744993,9/30/2018 3:35,51,3973,83.33,0
1744994,9/30/2018 3:36,2779,7242,4.97,0
1744995,9/30/2018 3:36,4848,5931,53.39,0
1744996,9/30/2018 3:36,241,8536,16.52,0
1744997,9/30/2018 3:36,4736,6093,46.54,0
1744998,9/30/2018 3:36,381,8184,31.32,0
1744999,9/30/2018 3:36,234,6281,18.94,0
1745000,9/30/2018 3:36,3692,7107,69.22,0
1745001,9/30/2018 3:37,4522,328,80.96,0
1745002,9/30/2018 3:38,3435,8567,126.19,0
1745003,9/30/2018 3:38,4745,9728,109.85,0
1745004,9/30/2018 3:39,421,4873,24.01,0
1745005,9/30/2018 3:39,1171,8069,24.85,0
1745006,9/30/2018 3:39,2719,6446,23.67,0
1745007,9/30/2018 3:39,1386,8547,64.24,0
1745008,9/30/2018 3:39,4693,1627,113.8,0
1745009,9/30/2018 3:39,571,403,95.28,0
1745010,9/30/2018 3:39,3520,1552,27.6,0
1745011,9/30/2018 3:40,3230,7954,64.77,0
1745012,9/30/2018 3:40,3514,1911,135.03,0
1745013,9/30/2018 3:40,2109,1368,89.4,0
1745014,9/30/2018 3:40,3000,9899,39.48,0
1745015,9/30/2018 3:41,1626,5166,10.78,0
1745016,9/30/2018 3:41,4093,6820,57.65,0
1745017,9/30/2018 3:41,4985,5848,15.32,0
1745018,9/30/2018 3:41,2492,6588,68.69,0
1745019,9/30/2018 3:42,586,3395,1.89,0
1745020,9/30/2018 3:42,1102,71,43.99,0
1745021,9/30/2018 3:42,4169,289,14.05,0
1745022,9/30/2018 3:42,1354,4530,34.92,0
1745023,9/30/2018 3:42,1687,1714,52.86,0
1745024,9/30/2018 3:42,2444,5846,21.32,0
1745025,9/30/2018 3:42,4316,9499,12.58,0
